Title, Named Entity, Frequency
"Lionel Messi", "May 2015", "6"
"Lionel Messi", "1990", "6"
"Lionel Messi", "Valencia", "6"
"Lionel Messi", "Marca", "6"
"Lionel Messi", "2 September 2019", "6"
"Lionel Messi", "September", "6"
"Lionel Messi", "Mexico", "6"
"Lionel Messi", "Bolivia", "6"
"Lionel Messi", "Switzerland", "6"
"Lionel Messi", "Iran", "6"
"Lionel Messi", "World", "6"
"Lionel Messi", "2efn", "6"
"Lionel Messi", "seven", "5"
"Lionel Messi", "35", "5"
"Lionel Messi", "2006", "5"
"Lionel Messi", "June 2021", "5"
"Lionel Messi", "Catalan", "5"
"Lionel Messi", "33%", "5"
"Lionel Messi", "Joan Laporta", "5"
"Lionel Messi", "2005–06", "5"
"Lionel Messi", "519–524", "5"
"Lionel Messi", "2007–08", "5"
"Lionel Messi", "24 July 2015", "5"
"Lionel Messi", "Xavi", "5"
"Lionel Messi", "47", "5"
"Lionel Messi", "Madrid", "5"
"Lionel Messi", "Raúl", "5"
"Lionel Messi", "Andy", "5"
"Lionel Messi", "46", "5"
"Lionel Messi", "Luis Suárez", "5"
"Lionel Messi", "Betis", "5"
"Lionel Messi", "17 August", "5"
"Lionel Messi", "2016–17", "5"
"Lionel Messi", "37", "5"
"Lionel Messi", "27 April 2019", "5"
"Lionel Messi", "Cristiano Ronaldo's", "5"
"Lionel Messi", "13 August 2015", "5"
"Lionel Messi", "7 June 2016", "5"
"Lionel Messi", "27 June 2016", "5"
"Lionel Messi", "1 July 2018", "5"
"Lionel Messi", "26 June 2018", "5"
"Lionel Messi", "7 July 2019", "5"
"Lionel Messi", "Time", "5"
"Lionel Messi", "Thiago", "5"
"Lionel Messi", "FIFA Club World Cup", "5"
"Lionel Messi", "Andrés Messi", "4"
"Lionel Messi", "81", "4"
"Lionel Messi", "France Football", "4"
"Lionel Messi", "Ballon d'Or Ballon", "4"
"Lionel Messi", "seventh", "4"
"Lionel Messi", "2020", "4"
"Lionel Messi", "age 13", "4"
"Lionel Messi", "Golden Shoe", "4"
"Lionel Messi", "New Maradona", "4"
"Lionel Messi", "five years", "4"
"Lionel Messi", "Leo", "4"
"Lionel Messi", "Times", "4"
"Lionel Messi", "Arsenal F.C. Arsenal", "4"
"Lionel Messi", "Corrigan", "4"
"Lionel Messi", "53", "4"
"Lionel Messi", "Rijkaard", "4"
"Lionel Messi", "three months", "4"
"Lionel Messi", "Graham", "4"
"Lionel Messi", "May 2009", "4"
"Lionel Messi", "51", "4"
"Lionel Messi", "Matches 2008–09", "4"
"Lionel Messi", "Andrés Iniesta", "4"
"Lionel Messi", "24 July", "4"
"Lionel Messi", "26 July 2015", "4"
"Lionel Messi", "Supercopa de España Supercopa de España", "4"
"Lionel Messi", "Guardiola", "4"
"Lionel Messi", "Matches 2010–11", "4"
"Lionel Messi", "10 December 2012", "4"
"Lionel Messi", "Gerd Müller's", "4"
"Lionel Messi", "Messidependencia", "4"
"Lionel Messi", "Overtaken", "4"
"Lionel Messi", "El Clásico", "4"
"Lionel Messi", "41", "4"
"Lionel Messi", "May 2021", "4"
"Lionel Messi", "Neymar", "4"
"Lionel Messi", "CBS Sports", "4"
"Lionel Messi", "The Washington Post", "4"
"Lionel Messi", "Valverde", "4"
"Lionel Messi", "600th", "4"
"Lionel Messi", "14 March 2018", "4"
"Lionel Messi", "21 June 2018", "4"
"Lionel Messi", "2–2", "4"
"Lionel Messi", "30 October 2019", "4"
"Lionel Messi", "12 July 2020", "4"
"Lionel Messi", "1993", "4"
"Lionel Messi", "2022", "4"
"Lionel Messi", "Ivory Coast", "4"
"Lionel Messi", "384–387", "4"
"Lionel Messi", "414–420", "4"
"Lionel Messi", "595–602", "4"
"Lionel Messi", "Panama", "4"
"Lionel Messi", "18 June 2016", "4"
"Lionel Messi", "22 June 2018", "4"
"Lionel Messi", "CONMEBOL", "4"
"Lionel Messi", "11 July 2021", "4"
"Lionel Messi", "FiveReasons", "4"
"Lionel Messi", "13 August 2018", "4"
"Lionel Messi", "SportsPro  date", "4"
"Lionel Messi", "Leo Messi Foundation", "4"
"Lionel Messi", "576–577", "4"
"Lionel Messi", "Russia", "3"
"Lionel Messi", "474", "3"
"Lionel Messi", "8 September 2015", "3"
"Lionel Messi", "French", "3"
"Lionel Messi", "FIFA World Player", "3"
"Lionel Messi", "11 January 2016", "3"
"Lionel Messi", "Luis Enrique", "3"
"Lionel Messi", "ten", "3"
"Lionel Messi", "500", "3"
"Lionel Messi", "October 2004", "3"
"Lionel Messi", "Paris Saint Germain", "3"
"Lionel Messi", "Olympic", "3"
"Lionel Messi", "awards#Golden Ball Golden Ball", "3"
"Lionel Messi", "Copa", "3"
"Lionel Messi", "Italian", "3"
"Lionel Messi", "Catalonia", "3"
"Lionel Messi", "Newell's", "3"
"Lionel Messi", "Wright", "3"
"Lionel Messi", "Newell", "3"
"Lionel Messi", "Buenos Aires", "3"
"Lionel Messi", "Pablo Aimar", "3"
"Lionel Messi", "Brazilian", "3"
"Lionel Messi", "La Masia", "3"
"Lionel Messi", "First", "3"
"Lionel Messi", "Royal Spanish Football Federation", "3"
"Lionel Messi", "Pete", "3"
"Lionel Messi", "England", "3"
"Lionel Messi", "246–249", "3"
"Lionel Messi", "El País", "3"
"Lionel Messi", "29 November", "3"
"Lionel Messi", "262–263", "3"
"Lionel Messi", "Matches 2004–05", "3"
"Lionel Messi", "FTMag", "3"
"Lionel Messi", "27 May 2011", "3"
"Lionel Messi", "UEFA Champions League UEFA Champions League", "3"
"Lionel Messi", "24 February 2006", "3"
"Lionel Messi", "Hunter", "3"
"Lionel Messi", "Iniesta", "3"
"Lionel Messi", "18 year old", "3"
"Lionel Messi", "20 July 2015", "3"
"Lionel Messi", "Liga", "3"
"Lionel Messi", "266–269", "3"
"Lionel Messi", "NotBest", "3"
"Lionel Messi", "24 September 2015", "3"
"Lionel Messi", "Matches 2006–07", "3"
"Lionel Messi", "UEFA Champions League Champions League", "3"
"Lionel Messi", "21 July", "3"
"Lionel Messi", "November 2021", "3"
"Lionel Messi", "El Mundo", "3"
"Lionel Messi", "472", "3"
"Lionel Messi", "Real Madrid's", "3"
"Lionel Messi", "Phil", "3"
"Lionel Messi", "Telegraph", "3"
"Lionel Messi", "European Golden Shoe", "3"
"Lionel Messi", "November 2010", "3"
"Lionel Messi", "24", "3"
"Lionel Messi", "Matches 2011–12", "3"
"Lionel Messi", "25 September 2015", "3"
"Lionel Messi", "30 July", "3"
"Lionel Messi", "Johan Cruyff", "3"
"Lionel Messi", "European Cup", "3"
"Lionel Messi", "Five", "3"
"Lionel Messi", "season season", "3"
"Lionel Messi", "Sociedad", "3"
"Lionel Messi", "a calendar year", "3"
"Lionel Messi", "8 January 2013", "3"
"Lionel Messi", "Bayern Munich", "3"
"Lionel Messi", "Gerardo Martino", "3"
"Lionel Messi", "Derbi", "3"
"Lionel Messi", "6 June 2015", "3"
"Lionel Messi", "43", "3"
"Lionel Messi", "4 September 2015", "3"
"Lionel Messi", "6–1", "3"
"Lionel Messi", "10,000", "3"
"Lionel Messi", "Javier Mascherano", "3"
"Lionel Messi", "February 2017", "3"
"Lionel Messi", "August 2016", "3"
"Lionel Messi", "A week later", "3"
"Lionel Messi", "three weeks", "3"
"Lionel Messi", "Fox Sports", "3"
"Lionel Messi", "16 January 2017", "3"
"Lionel Messi", "Alavés", "3"
"Lionel Messi", "54", "3"
"Lionel Messi", "Juventus", "3"
"Lionel Messi", "100th", "3"
"Lionel Messi", "18 October 2017", "3"
"Lionel Messi", "Portuguese", "3"
"Lionel Messi", "November 2017", "3"
"Lionel Messi", "2020–21", "3"
"Lionel Messi", "Muller", "3"
"Lionel Messi", "May 2018", "3"
"Lionel Messi", "10th", "3"
"Lionel Messi", "eight", "3"
"Lionel Messi", "Eibar", "3"
"Lionel Messi", "50th", "3"
"Lionel Messi", "17 April 2019", "3"
"Lionel Messi", "2019–20", "3"
"Lionel Messi", "October 2019", "3"
"Lionel Messi", "November 2019", "3"
"Lionel Messi", "LaLiga", "3"
"Lionel Messi", "30 June", "3"
"Lionel Messi", "Henry", "3"
"Lionel Messi", "Albiceleste", "3"
"Lionel Messi", "October 2020", "3"
"Lionel Messi", "November 2020", "3"
"Lionel Messi", "Leo Messi's", "3"
"Lionel Messi", "14 July 2021", "3"
"Lionel Messi", "FIFA", "3"
"Lionel Messi", "Peru", "3"
"Lionel Messi", "Pékerman", "3"
"Lionel Messi", "Croatia", "3"
"Lionel Messi", "Serbia", "3"
"Lionel Messi", "533–539", "3"
"Lionel Messi", "South Korea", "3"
"Lionel Messi", "Greece", "3"
"Lionel Messi", "Sabella", "3"
"Lionel Messi", "32", "3"
"Lionel Messi", "Gabriel Batistuta", "3"
"Lionel Messi", "Guatemala", "3"
"Lionel Messi", "World Cup Final", "3"
"Lionel Messi", "Honduras", "3"
"Lionel Messi", "11 June 2016", "3"
"Lionel Messi", "América Centenario", "3"
"Lionel Messi", "10 June 2016", "3"
"Lionel Messi", "9 June 2016", "3"
"Lionel Messi", "21 June", "3"
"Lionel Messi", "8 April 2020", "3"
"Lionel Messi", "2018 World Cup", "3"
"Lionel Messi", "October 2017", "3"
"Lionel Messi", "France", "3"
"Lionel Messi", "Portugal", "3"
"Lionel Messi", "13 June 2021", "3"
"Lionel Messi", "50,000", "3"
"Lionel Messi", "4 July 2021", "3"
"Lionel Messi", "MakingCase", "3"
"Lionel Messi", "11 December 2015", "3"
"Lionel Messi", "Dolce & Gabbana", "3"
"Lionel Messi", "Turkish Airlines", "3"
"Lionel Messi", "Roccuzzo", "3"
"Lionel Messi", "11 September 2015", "3"
"Lionel Messi", "February 2021", "3"
"Lionel Messi", "6 July 2016", "3"
"Lionel Messi", "13 September 2015", "3"
"Lionel Messi", "English", "2"
"Lionel Messi", "FIFA World Cup 2018", "2"
"Lionel Messi", "15 July 2018", "2"
"Lionel Messi", "Santa Fe", "2"
"Lionel Messi", "Grandoli", "2"
"Lionel Messi", "Newell's Old", "2"
"Lionel Messi", "520", "2"
"Lionel Messi", "23 April 2022", "2"
"Lionel Messi", "UTC", "2"
"Lionel Messi", "Olympic Games", "2"
"Lionel Messi", "32–37", "2"
"Lionel Messi", "10 June 2014", "2"
"Lionel Messi", "25 June 2014", "2"
"Lionel Messi", "24 June 1987", "2"
"Lionel Messi", "FC Barcelona Barcelona", "2"
"Lionel Messi", "Assist", "2"
"Lionel Messi", "50 or", "2"
"Lionel Messi", "season 2008–09", "2"
"Lionel Messi", "Three", "2"
"Lionel Messi", "7 January 2013", "2"
"Lionel Messi", "season 2011–12 season", "2"
"Lionel Messi", "August 2005", "2"
"Lionel Messi", "August 2011", "2"
"Lionel Messi", "Golden Ball", "2"
"Lionel Messi", "Golden Boot", "2"
"Lionel Messi", "six between 2009 and 2014", "2"
"Lionel Messi", "February 2020", "2"
"Lionel Messi", "$1 billion", "2"
"Lionel Messi", "Delantero", "2"
"Lionel Messi", "Jorge Messi", "2"
"Lionel Messi", "Rodrigo", "2"
"Lionel Messi", "Matías", "2"
"Lionel Messi", "Celia", "2"
"Lionel Messi", "MagicFeet", "2"
"Lionel Messi", "5 July 2015", "2"
"Lionel Messi", "44–45", "2"
"Lionel Messi", "11 July 2014", "2"
"Lionel Messi", "25%", "2"
"Lionel Messi", "six years", "2"
"Lionel Messi", "The Machine of '87", "2"
"Lionel Messi", "October 2012", "2"
"Lionel Messi", "Club Atlético", "2"
"Lionel Messi", "Argentinian", "2"
"Lionel Messi", "Carles Rexach", "2"
"Lionel Messi", "Serviette", "2"
"Lionel Messi", "BoyGenius", "2"
"Lionel Messi", "a year", "2"
"Lionel Messi", "149", "2"
"Lionel Messi", "RCD Espanyol Espanyol", "2"
"Lionel Messi", "Sports Illustrated", "2"
"Lionel Messi", "5 June 2015", "2"
"Lionel Messi", "Barcelona B", "2"
"Lionel Messi", "183–185", "2"
"Lionel Messi", "that season", "2"
"Lionel Messi", "Matches 2003–04", "2"
"Lionel Messi", "Frank Rijkaard", "2"
"Lionel Messi", "16 October", "2"
"Lionel Messi", "2004–05", "2"
"Lionel Messi", "264–265", "2"
"Lionel Messi", "two years", "2"
"Lionel Messi", "Inter Milan", "2"
"Lionel Messi", "16 September", "2"
"Lionel Messi", "Starlet", "2"
"Lionel Messi", "MessiRonaldinho", "2"
"Lionel Messi", "last 16", "2"
"Lionel Messi", "Matches 2005–06", "2"
"Lionel Messi", "17 May", "2"
"Lionel Messi", "Paris", "2"
"Lionel Messi", "May 2007", "2"
"Lionel Messi", "ClosingIn", "2"
"Lionel Messi", "Liverpool F.C. Liverpool", "2"
"Lionel Messi", "Clásico", "2"
"Lionel Messi", "FIFA World", "2"
"Lionel Messi", "Getafe CF Getafe", "2"
"Lionel Messi", "Christopher", "2"
"Lionel Messi", "quarter finals", "2"
"Lionel Messi", "60", "2"
"Lionel Messi", "Matches 2007–08", "2"
"Lionel Messi", "Celtic F.C.", "2"
"Lionel Messi", "Two", "2"
"Lionel Messi", "Carles Puyol", "2"
"Lionel Messi", "annual", "2"
"Lionel Messi", "Thierry Henry", "2"
"Lionel Messi", "Lee  Roden", "2"
"Lionel Messi", "Suarez", "2"
"Lionel Messi", "453–459", "2"
"Lionel Messi", "three days later", "2"
"Lionel Messi", "finals quarter", "2"
"Lionel Messi", "27 May", "2"
"Lionel Messi", "18 September", "2"
"Lionel Messi", "Tom", "2"
"Lionel Messi", "May 2010", "2"
"Lionel Messi", "UEFA Super Cup UEFA Super Cup", "2"
"Lionel Messi", "7 April 2010", "2"
"Lionel Messi", "Zlatan Ibrahimović", "2"
"Lionel Messi", "Matches 2009–10", "2"
"Lionel Messi", "second consecutive year", "2"
"Lionel Messi", "27 July 2010", "2"
"Lionel Messi", "Joseph  Wilson", "2"
"Lionel Messi", "Fifth", "2"
"Lionel Messi", "BestPlayer", "2"
"Lionel Messi", "16 April", "2"
"Lionel Messi", "28 May 2011", "2"
"Lionel Messi", "División Statistics", "2"
"Lionel Messi", "Tony", "2"
"Lionel Messi", "Majid  Mohamed  title", "2"
"Lionel Messi", "5–4", "2"
"Lionel Messi", "close of year", "2"
"Lionel Messi", "Bayer", "2"
"Lionel Messi", "Leverkusen Bayer Leverkusen", "2"
"Lionel Messi", "Lionel Messi Scores", "2"
"Lionel Messi", "César Rodríguez", "2"
"Lionel Messi", "Granada CF Granada", "2"
"Lionel Messi", "four year", "2"
"Lionel Messi", "25 May", "2"
"Lionel Messi", "5 May", "2"
"Lionel Messi", "Four", "2"
"Lionel Messi", "55", "2"
"Lionel Messi", "Munich", "2"
"Lionel Messi", "Barcelona Shirt", "2"
"Lionel Messi", "MostDecorated", "2"
"Lionel Messi", "Saj  Chowdhury", "2"
"Lionel Messi", "season 2012–13", "2"
"Lionel Messi", "Vilanova", "2"
"Lionel Messi", "13 May 2013", "2"
"Lionel Messi", "ninth", "2"
"Lionel Messi", "556", "2"
"Lionel Messi", "Rayo Vallecano", "2"
"Lionel Messi", "a false nine", "2"
"Lionel Messi", "half", "2"
"Lionel Messi", "11 April 2013", "2"
"Lionel Messi", "2 April", "2"
"Lionel Messi", "second half", "2"
"Lionel Messi", "Focus", "2"
"Lionel Messi", "17th", "2"
"Lionel Messi", "Matches 2012–13", "2"
"Lionel Messi", "OneFlick", "2"
"Lionel Messi", "Osasuna", "2"
"Lionel Messi", "Alfredo Di Stéfano", "2"
"Lionel Messi", "Matches 2013–14", "2"
"Lionel Messi", "Payroll", "2"
"Lionel Messi", "la", "2"
"Lionel Messi", "United Kingdom", "2"
"Lionel Messi", "Telmo Zarra", "2"
"Lionel Messi", "Ramon  Besa", "2"
"Lionel Messi", "11 January", "2"
"Lionel Messi", "Transform", "2"
"Lionel Messi", "TooGood", "2"
"Lionel Messi", "Simon  Rice", "2"
"Lionel Messi", "5 August 2015", "2"
"Lionel Messi", "11 August 2015", "2"
"Lionel Messi", "La", "2"
"Lionel Messi", "7 December 2015", "2"
"Lionel Messi", "2014–15", "2"
"Lionel Messi", "6 June", "2"
"Lionel Messi", "Jonathan  Jurejko", "2"
"Lionel Messi", "Roger  Gonzalez", "2"
"Lionel Messi", "16 September 2015", "2"
"Lionel Messi", "21 November", "2"
"Lionel Messi", "21 December 2015", "2"
"Lionel Messi", "Penalty", "2"
"Lionel Messi", "17 April", "2"
"Lionel Messi", "17 April 2016", "2"
"Lionel Messi", "131", "2"
"Lionel Messi", "18 August 2016", "2"
"Lionel Messi", "14 August", "2"
"Lionel Messi", "Super Cup", "2"
"Lionel Messi", "15 August 2016", "2"
"Lionel Messi", "Three days later", "2"
"Lionel Messi", "Luis Suarez", "2"
"Lionel Messi", "Deportivo de La Coruña", "2"
"Lionel Messi", "Pep Guardiola's", "2"
"Lionel Messi", "UCL", "2"
"Lionel Messi", "November 2016", "2"
"Lionel Messi", "9 January 2017", "2"
"Lionel Messi", "3–1", "2"
"Lionel Messi", "Las Palmas", "2"
"Lionel Messi", "Athletic Bilbao", "2"
"Lionel Messi", "Koeman", "2"
"Lionel Messi", "3–2", "2"
"Lionel Messi", "May 2017", "2"
"Lionel Messi", "2016–17 season", "2"
"Lionel Messi", "14 August 2017", "2"
"Lionel Messi", "27 August 2017", "2"
"Lionel Messi", "25th", "2"
"Lionel Messi", "9 September", "2"
"Lionel Messi", "2017–18", "2"
"Lionel Messi", "Sevilla in La Liga", "2"
"Lionel Messi", "Sam  Marsden", "2"
"Lionel Messi", "25 November", "2"
"Lionel Messi", "season 2020–21 season", "2"
"Lionel Messi", "25 November 2017", "2"
"Lionel Messi", "Levante", "2"
"Lionel Messi", "14 January 2018", "2"
"Lionel Messi", "Messi Wins", "2"
"Lionel Messi", "30th", "2"
"Lionel Messi", "21 April 2018", "2"
"Lionel Messi", "29 April 2018", "2"
"Lionel Messi", "12 August", "2"
"Lionel Messi", "19 August", "2"
"Lionel Messi", "20 October", "2"
"Lionel Messi", "8 December", "2"
"Lionel Messi", "14 January 2019", "2"
"Lionel Messi", "13 January 2019", "2"
"Lionel Messi", "Hugo Sánchez", "2"
"Lionel Messi", "Josep Maria Bartomeu", "2"
"Lionel Messi", "Zarra", "2"
"Lionel Messi", "Gonzalez", "2"
"Lionel Messi", "Roger  date", "2"
"Lionel Messi", "August 2019", "2"
"Lionel Messi", "7 October 2019", "2"
"Lionel Messi", "Slavia Prague", "2"
"Lionel Messi", "15th", "2"
"Lionel Messi", "Real Valladolid", "2"
"Lionel Messi", "35 yards", "2"
"Lionel Messi", "34th", "2"
"Lionel Messi", "700th", "2"
"Lionel Messi", "35th", "2"
"Lionel Messi", "700", "2"
"Lionel Messi", "11 July 2020", "2"
"Lionel Messi", "SPORTS", "2"
"Lionel Messi", "at least 20", "2"
"Lionel Messi", "Bayern", "2"
"Lionel Messi", "4 September 2020", "2"
"Lionel Messi", "30 August", "2"
"Lionel Messi", "Nota", "2"
"Lionel Messi", "2020–21 FC Barcelona", "2"
"Lionel Messi", "644th", "2"
"Lionel Messi", "Pele", "2"
"Lionel Messi", "23 December 2020", "2"
"Lionel Messi", "Budweiser", "2"
"Lionel Messi", "17 January 2021", "2"
"Lionel Messi", "Parc des Princes", "2"
"Lionel Messi", "March 2021", "2"
