Title, Named Entity, Sentence
Barack Obama, 44th, The First inauguration of Barack Obama inauguration of Barack Obama as 44th president took place on January 20, 2009.
Barack Obama, 44th, Barack Hussein Obama II (   ; born August 4, 1961) is an American politician who served as 44th president of United States from 2009 to 2017.
Barack Obama, United States, Awlaki became first Citizenship of United States U.S. citizen to be targeted and killed by a Drone strike U.S. drone strike without rights of due process being afforded.
Barack Obama, United States, The American Recovery and Reinvestment Act of 2009 American Recovery and Reinvestment Act and Tax Relief, Unemployment Insurance Reauthorization, and Job Creation Act of 2010 Tax Relief, Unemployment Insurance Reauthorization, and Job Creation Act served as economic stimuli amidst Great Recession in United States Great Recession.
Barack Obama, United States, As a candidate for Illinois state senate in 1996, Obama stated he favored legalizing Same sex marriage in United States same sex marriage.
Barack Obama, United States, In foreign policy, he ordered American led intervention in Iraq (2014–present) military interventions in Iraq and American led intervention in Syrian civil war Syria in response to gains made by Islamic State ISIL after 2011 withdrawal from Iraq, promoted discussions that led to 2015 Paris Agreement on global climate change, oversaw and ultimately apologized for deadly Kunduz hospital airstrike, drew down Withdrawal of United States troops from Afghanistan (2011–2016) U.S. troops in Afghanistan in 2016, initiated International sanctions during Ukrainian crisis sanctions against Russia following Annexation of Crimea by Russian Federation Annexation of Crimea and again after Russian interference in 2016 United States elections interference in 2016 U.S. elections, brokered Joint Comprehensive Plan of Action nuclear deal with Iran, and Cuban thaw normalized U.S. relations with Cuba.
Barack Obama, United States, He also became Chairman of Senate's subcommittee on United States Senate Foreign Relations Subcommittee on Europe and Regional Security Cooperation European Affairs.
Barack Obama, United States, On May 25, 2011, Obama became first president of United States to address both houses of Parliament of United Kingdom UK Parliament in Westminster Hall, London.
Barack Obama, United States, Passed as a response to financial crisis of 2007–08, it brought most significant changes to financial regulation in United States since regulatory reform that followed Great Depression under Democratic President Franklin D. Roosevelt.
Barack Obama, United States, Obama held assignments on Senate Committees for United States Senate Committee on Foreign Relations Foreign Relations, United States Senate Committee on Environment and Public Works Environment and Public Works and United States Senate Committee on Veterans' Affairs Veterans' Affairs through December 2006.
Barack Obama, United States, Prior to oil spill, on March 31, 2010, Obama ended a ban on oil and gas drilling along majority of East Coast of United States and along coast of Arctic Alaska northern Alaska in an effort to win support for an energy and climate bill and to reduce foreign imports of oil and gas.
Barack Obama, United States, The Task Force was a development out of White House Council on Women and Girls and Office of Vice President of United States, and prior to that 1994 Violence Against Women Act first drafted by Biden.
Barack Obama, United States, Obama nominated Barack Obama Supreme Court candidates three justices to Supreme Court  Sonia Sotomayor and Elena Kagan were confirmed as justices, while Merrick Garland was Merrick Garland Supreme Court nomination denied hearings or a vote from Republican majority United States Senate Senate.
Barack Obama, United States, In December 2016, Obama permanently banned new offshore oil and gas drilling in most United States owned waters in Atlantic Ocean Atlantic and Arctic Oceans using 1953 Outer Continental Shelf Act.
Barack Obama, United States, Obama resignation from United States Senate resigned his Senate seat on November 16, 2008, to focus on his transition period for presidency.
Barack Obama, United States, On February 10, 2007, Obama announced his candidacy for President of United States in front of Old State Capitol State Historic Site (Illinois) Old State Capitol building in Springfield, Illinois.
Barack Obama, United States, Category 21st century presidents of United States
Barack Obama, United States, His administration filed briefs that urged Supreme Court of United States Supreme Court to strike down Same sex marriage in United States same sex marriage bans as unconstitutional (United States v. Windsor and Obergefell v. Hodges); same sex marriage was Same sex marriage in United States legalized nationwide in 2015 after Court ruled so in Obergefell.
Barack Obama, United States, After Annexation of Crimea by Russian Federation Russia's invasion of Crimea in 2014, Russian military intervention in Syria military intervention in Syria in 2015, and 2016 United States election interference by Russia interference in 2016 United States presidential election 2016 U.S. presidential election, Obama's Russia policy was widely seen as a failure.
Barack Obama, United States, During his 2004 general election campaign for U.S. Senate, police representatives credited Obama for his active engagement with police organizations in enacting Capital punishment in United States death penalty reforms.
Barack Obama, United States, In 2004 United States Senate election in Illinois November 2004 general election, Obama won with 70 percent of vote, largest margin of victory for a Senate candidate in Illinois history.
Barack Obama, United States, In 2016, Obama administration proposed a series of Saudi Arabia–United States relations arms deals with Saudi Arabia worth $115billion.
