BodyMass,Wingspan
1020,94
1050,93
4050,165
1567,116
3310,165
2200,121
2380,111
862,73
400,69
370,58
400,56
600,76
990,90
1073,80
1330,71
1580,98
1640,95
1241,87.2
1360,95
500,59
