Title, Named Entity, Frequency
"Brad Pitt", "early 2006", "3"
"Brad Pitt", "Namibia", "3"
"Brad Pitt", "Nice", "3"
"Brad Pitt", "Shiloh", "3"
"Brad Pitt", "July 12", "3"
"Brad Pitt", "Oklahoma", "2"
"Brad Pitt", "Douglas Pitt", "2"
"Brad Pitt", "December 18, 1963", "2"
"Brad Pitt", "British", "2"
"Brad Pitt", "Golden Globe Award", "2"
"Brad Pitt", "A River Runs Through", "2"
"Brad Pitt", "Thirteen", "2"
"Brad Pitt", "Academy Award for Best Picture", "2"
"Brad Pitt", "Best Picture", "2"
"Brad Pitt", "July 6, 2012", "2"
"Brad Pitt", "GQ", "2"
"Brad Pitt", "Jesse James", "2"
"Brad Pitt", "Kickapoo High School", "2"
"Brad Pitt", "Sean Penn", "2"
"Brad Pitt", "No Way Out", "2"
"Brad Pitt", "No Man's Land", "2"
"Brad Pitt", "Less Than Zero", "2"
"Brad Pitt", "NBC", "2"
"Brad Pitt", "October 25, 2020", "2"
"Brad Pitt", "American Broadcasting Company ABC", "2"
"Brad Pitt", "Growing Pains", "2"
"Brad Pitt", "Brad Pitt Biography", "2"
"Brad Pitt", "May 20, 2009", "2"
"Brad Pitt", "Dallas", "2"
"Brad Pitt", "Scotland", "2"
"Brad Pitt", "May 26, 2009", "2"
"Brad Pitt", "1988", "2"
"Brad Pitt", "21", "2"
"Brad Pitt", "same year", "2"
"Brad Pitt", "The Dark Side of Sun", "2"
"Brad Pitt", "1989", "2"
"Brad Pitt", "1990", "2"
"Brad Pitt", "Ken Tucker", "2"
"Brad Pitt", "Ridley Scott's", "2"
"Brad Pitt", "Thelma & Louise", "2"
"Brad Pitt", "Deseret News", "2"
"Brad Pitt", "Geena Davis", "2"
"Brad Pitt", "4", "2"
"Brad Pitt", "Thelma", "2"
"Brad Pitt", "Davis", "2"
"Brad Pitt", "May 13, 2004", "2"
"Brad Pitt", "Robert Redford", "2"
"Brad Pitt", "November 13, 1998", "2"
"Brad Pitt", "Jeff Giles", "2"
"Brad Pitt", "September 6, 2014", "2"
"Brad Pitt", "Redford", "2"
"Brad Pitt", "Kalifornia", "2"
"Brad Pitt", "Rolling Stone", "2"
"Brad Pitt", "June 29, 2011", "2"
"Brad Pitt", "Kirsten Dunst", "2"
"Brad Pitt", "Dallas Observer", "2"
"Brad Pitt", "Anthony Hopkins", "2"
"Brad Pitt", "26", "2"
"Brad Pitt", "December 22, 2008", "2"
"Brad Pitt", "August 18, 2010", "2"
"Brad Pitt", "February 24, 2009", "2"
"Brad Pitt", "Gwyneth Paltrow", "2"
"Brad Pitt", "February 6, 2012", "2"
"Brad Pitt", "1996", "2"
"Brad Pitt", "Ford", "2"
"Brad Pitt", "19, 2012", "2"
"Brad Pitt", "Chris Nashawaty", "2"
"Brad Pitt", "1998", "2"
"Brad Pitt", "August 14, 2009", "2"
"Brad Pitt", "April 2, 2013", "2"
"Brad Pitt", "Chuck Palahniuk", "2"
"Brad Pitt", "25", "2"
"Brad Pitt", "May 13, 2009", "2"
"Brad Pitt", "Fight Club'", "2"
"Brad Pitt", "Venice", "2"
"Brad Pitt", "November 8, 2009", "2"
"Brad Pitt", "January 19, 2001", "2"
"Brad Pitt", "Amy Taubin", "2"
"Brad Pitt", "October 20, 2012", "2"
"Brad Pitt", "Julia Roberts", "2"
"Brad Pitt", "March 2, 2001", "2"
"Brad Pitt", "Spy Game", "2"
"Brad Pitt", "Mark Holcomb", "2"
"Brad Pitt", "One", "2"
"Brad Pitt", "Friends", "2"
"Brad Pitt", "1960", "2"
"Brad Pitt", "George Clooney", "2"
"Brad Pitt", "2003", "2"
"Brad Pitt", "Elvis Mitchell", "2"
"Brad Pitt", "King of Hill", "2"
"Brad Pitt", "Achilles", "2"
"Brad Pitt", "Stephen Hunter", "2"
"Brad Pitt", "September 8, 2008", "2"
"Brad Pitt", "Golden Globe", "2"
"Brad Pitt", "Three", "2"
"Brad Pitt", "November 4, 2010", "2"
"Brad Pitt", "Cannes", "2"
"Brad Pitt", "Pitt's", "2"
"Brad Pitt", "311&nbsp;million", "2"
"Brad Pitt", "The Assassination of Jesse James", "2"
"Brad Pitt", "Coward Robert Ford", "2"
"Brad Pitt", "64th", "2"
"Brad Pitt", "Venice Film Festival", "2"
"Brad Pitt", "Lewis Beale", "2"
"Brad Pitt", "Film Journal International", "2"
"Brad Pitt", "August 27, 2008", "2"
"Brad Pitt", "Guard0827", "2"
"Brad Pitt", "Andrew Pulver", "2"
"Brad Pitt", "December 19, 2013", "2"
"Brad Pitt", "Benjamin Button", "2"
"Brad Pitt", "Kurt Loder", "2"
"Brad Pitt", "December 25, 2008", "2"
"Brad Pitt", "February 26, 2009", "2"
"Brad Pitt", "Cannes Film Festival", "2"
"Brad Pitt", "Inglourious Basterds", "2"
"Brad Pitt", "Corliss", "2"
"Brad Pitt", "German", "2"
"Brad Pitt", "2010", "2"
"Brad Pitt", "Billy Beane", "2"
"Brad Pitt", "August 11, 2013", "2"
"Brad Pitt", "June 26, 2013", "2"
"Brad Pitt", "January 17, 2014", "2"
"Brad Pitt", "Japan", "2"
"Brad Pitt", "Fury", "2"
"Brad Pitt", "World War II", "2"
"Brad Pitt", "Shia LaBeouf", "2"
"Brad Pitt", "THR Fury", "2"
"Brad Pitt", "Thriller 'Fury'", "2"
"Brad Pitt", "By Sea", "2"
"Brad Pitt", "January 20, 2016", "2"
"Brad Pitt", "Allied", "2"
"Brad Pitt", "French", "2"
"Brad Pitt", "Marion Cotillard", "2"
"Brad Pitt", "Forbes", "2"
"Brad Pitt", "10", "2"
"Brad Pitt", "James Gray's", "2"
"Brad Pitt", "Ad Astra", "2"
"Brad Pitt", "March 13, 2020  date August 29, 2019", "2"
"Brad Pitt", "Margot Robbie", "2"
"Brad Pitt", "Babylon", "2"
"Brad Pitt", "2022", "2"
"Brad Pitt", "US", "2"
"Brad Pitt", "Château Miraval", "2"
"Brad Pitt", "Miraval Studios", "2"
"Brad Pitt", "Sade", "2"
"Brad Pitt", "Muse", "2"
"Brad Pitt", "United States", "2"
"Brad Pitt", "John Kerry", "2"
"Brad Pitt", "November 25, 2008", "2"
"Brad Pitt", "ONE", "2"
"Brad Pitt", "Campaign One Campaign", "2"
"Brad Pitt", "Public Broadcasting Service", "2"
"Brad Pitt", "Chad", "2"
"Brad Pitt", "Ninth Ward", "2"
"Brad Pitt", "November 7, 2009", "2"
"Brad Pitt", "December 3, 2007", "2"
"Brad Pitt", "Steve Bing", "2"
"Brad Pitt", "5&nbsp;million", "2"
"Brad Pitt", "ABC News", "2"
"Brad Pitt", "October 2006", "2"
"Brad Pitt", "100,000", "2"
"Brad Pitt", "June 19, 2009", "2"
"Brad Pitt", "January 17, 2010", "2"
"Brad Pitt", "8", "2"
"Brad Pitt", "Hill", "2"
"Brad Pitt", "August 27, 2017", "2"
"Brad Pitt", "January 11, 2006", "2"
"Brad Pitt", "April 13, 2012", "2"
"Brad Pitt", "September 19, 2016", "2"
"Brad Pitt", "Brad Pitt '", "2"
"Brad Pitt", "20, 2016", "2"
"Brad Pitt", "April 12, 2019", "2"
"Brad Pitt", "Ho Chi Minh City", "2"
"Brad Pitt", "Vietnam", "2"
"Brad Pitt", "March 15, 2007", "2"
"Brad Pitt", "February 21, 2008", "2"
"Brad Pitt", "Zahara Marley", "2"
"Brad Pitt", "Ethiopia", "2"
"Brad Pitt", "Swakopmund", "2"
"Brad Pitt", "Vivienne Marcheline", "2"
"Brad Pitt", "9, 2015", "2"
"Brad Pitt", "December 3, 2005", "2"
"Brad Pitt", "January 19, 2006", "2"
"Brad Pitt", "Saturday", "2"
"Brad Pitt", "July 15, 2008", "2"
"Brad Pitt", "Brangelina", "2"
"Brad Pitt", "September 2016", "2"
"Brad Pitt", "FBI", "2"
"Brad Pitt", "September 22, 2016", "2"
"Brad Pitt", "28", "2"
"Brad Pitt", "Empire", "2"
"Brad Pitt", "bbc brad", "2"
"Brad Pitt", "May 19, 2009", "2"
"Brad Pitt", "June 2, 2015", "2"
"Brad Pitt", "English", "1"
"Brad Pitt", "September 2019", "1"
"Brad Pitt", "mdy", "1"
"Brad Pitt", "July 2020", "1"
"Brad Pitt", "Glenn Francis.jpg", "1"
"Brad Pitt", "William Bradley", "1"
"Brad Pitt", "age 1963 12", "1"
"Brad Pitt", "18", "1"
"Brad Pitt", "Full", "1"
"Brad Pitt", "2000 2005", "1"
"Brad Pitt", "2014 2019", "1"
"Brad Pitt", "July 23, 2021", "1"
"Brad Pitt", "Win", "1"
"Brad Pitt", "July 25, 2021", "1"
"Brad Pitt", "April 2019", "1"
"Brad Pitt", "Brad Pitt Full", "1"
"Brad Pitt", "William Bradley Pitt'", "1"
"Brad Pitt", "an Academy Award", "1"
"Brad Pitt", "British Academy Film Award", "1"
"Brad Pitt", "a Golden Globe Award for Best Supporting Actor – Motion Picture Golden Globe Award for Best Supporting Actor", "1"
"Brad Pitt", "Golden Globe Award and Academy Award for Best Supporting Actor", "1"
"Brad Pitt", "The Departed", "1"
"Brad Pitt", "many years", "1"
"Brad Pitt", "Shawnee", "1"
"Brad Pitt", "William Alvin Pitt", "1"
"Brad Pitt", "Jane Etta", "1"
"Brad Pitt", "Hillhouse", "1"
"Brad Pitt", "Bunbury", "1"
"Brad Pitt", "December 14, 2008", "1"
"Brad Pitt", "May 13", "1"
"Brad Pitt", "3, 2009", "1"
"Brad Pitt", "Douglas Mitchell", "1"
"Brad Pitt", "1966", "1"
"Brad Pitt", "Julie Neal", "1"
"Brad Pitt", "1969", "1"
"Brad Pitt", "Slippin", "1"
"Brad Pitt", "Chris Mundy", "1"
"Brad Pitt", "December 1, 1994", "1"
"Brad Pitt", "Rolling Stone >", "1"
"Brad Pitt", "Christian", "1"
"Brad Pitt", "Blair2019", "1"
"Brad Pitt", "Blair", "1"
"Brad Pitt", "Leonardo", "1"
"Brad Pitt", "The Christian Post", "1"
"Brad Pitt", "October 3, 2019", "1"
"Brad Pitt", "September 30, 2019", "1"
"Brad Pitt", "October 4, 2019", "1"
"Brad Pitt", "Mother Bashes", "1"
"Brad Pitt", "Alexander C. Kaufman", "1"
"Brad Pitt", "The Wrap", "1"
"Brad Pitt", "July 7, 2012", "1"
"Brad Pitt", "Southern Baptist Convention Southern Baptist", "1"
"Brad Pitt", "Galloway Stephen", "1"
"Brad Pitt", "February 7, 2014 date January 25, 2012", "1"
"Brad Pitt", "15, 2014", "1"
"Brad Pitt", "March 13, 2020  date September 16, 2019", "1"
"Brad Pitt", "April 9, 2020", "1"
"Brad Pitt", "Diver&nbsp", "1"
"Brad Pitt", "September 19, 2011", "1"
"Brad Pitt", "December 25, 2011", "1"
"Brad Pitt", "Rennie", "1"
