Title, Named Entity, Frequency
"Barack Obama", "Bureau of Labor Statistics", "5"
"Barack Obama", "March 23, 2010", "5"
"Barack Obama", "Medicare", "5"
"Barack Obama", "Saudi Arabia", "5"
"Barack Obama", "Benjamin Netanyahu", "5"
"Barack Obama", "Assad", "5"
"Barack Obama", "Hiroshima", "5"
"Barack Obama", "April 7, 2008", "5"
"Barack Obama", "2019", "5"
"Barack Obama", "44th", "4"
"Barack Obama", "English", "4"
"Barack Obama", "January 20, 2017", "4"
"Barack Obama", "Peter Fitzgerald", "4"
"Barack Obama", "13th", "4"
"Barack Obama", "1988", "4"
"Barack Obama", "Harvard Law School", "4"
"Barack Obama", "University of Chicago Law School", "4"
"Barack Obama", "Nobel Peace Prize", "4"
"Barack Obama", "Iraq War", "4"
"Barack Obama", "Syrian", "4"
"Barack Obama", "Cuban", "4"
"Barack Obama", "Jacobs", "4"
"Barack Obama", "third", "4"
"Barack Obama", "Muslim", "4"
"Barack Obama", "two years", "4"
"Barack Obama", "March 2010", "4"
"Barack Obama", "January 23, 2009", "4"
"Barack Obama", "February 10, 2007", "4"
"Barack Obama", "1998", "4"
"Barack Obama", "Who's Who 2008", "4"
"Barack Obama", "September 9, 2007", "4"
"Barack Obama", "November 4, 2008", "4"
"Barack Obama", "David", "4"
"Barack Obama", "Michelle", "4"
"Barack Obama", "Sarah", "4"
"Barack Obama", "Jonathan", "4"
"Barack Obama", "Obamas", "4"
"Barack Obama", "One", "4"
"Barack Obama", "Stolberg", "4"
"Barack Obama", "Camp David", "4"
"Barack Obama", "January 15, 2017", "4"
"Barack Obama", "U.S. News & World Report", "4"
"Barack Obama", "June 6, 2008", "4"
"Barack Obama", "26", "4"
"Barack Obama", "Michael", "4"
"Barack Obama", "June 17, 2008", "4"
"Barack Obama", "1st", "4"
"Barack Obama", "four", "4"
"Barack Obama", "8", "4"
"Barack Obama", "May 11, 2011", "4"
"Barack Obama", "Africa", "4"
"Barack Obama", "January 14, 2008", "4"
"Barack Obama", "978 1", "4"
"Barack Obama", "February 17, 2009", "4"
"Barack Obama", "one", "4"
"Barack Obama", "John F. Kennedy", "4"
"Barack Obama", "April 4, 2011", "4"
"Barack Obama", "April 3, 2012", "4"
"Barack Obama", "Republicans", "4"
"Barack Obama", "January 24, 2009", "4"
"Barack Obama", "April 18, 2010", "4"
"Barack Obama", "September 13, 2014", "4"
"Barack Obama", "Lee", "4"
"Barack Obama", "May 9, 2012", "4"
"Barack Obama", "60 percent", "4"
"Barack Obama", "April 7, 2011", "4"
"Barack Obama", "CBO", "4"
"Barack Obama", "The Christian Science Monitor", "4"
"Barack Obama", "September 9, 2009", "4"
"Barack Obama", "Arab", "4"
"Barack Obama", "June 4, 2009", "4"
"Barack Obama", "David Cameron", "4"
"Barack Obama", "May 2009", "4"
"Barack Obama", "Fox News", "4"
"Barack Obama", "Vladimir Putin", "4"
"Barack Obama", "24", "4"
"Barack Obama", "CIA", "4"
"Barack Obama", "May 1, 2011", "4"
"Barack Obama", "bin Laden", "4"
"Barack Obama", "Politico", "4"
"Barack Obama", "Richard", "4"
"Barack Obama", "YouTube", "4"
"Barack Obama", "Harris", "4"
"Barack Obama", "Nobel", "4"
"Barack Obama", "Netflix", "4"
"Barack Obama", "6", "4"
"Barack Obama", "December 11, 2008", "4"
"Barack Obama", "November 16, 2008", "3"
"Barack Obama", "Alice Palmer", "3"
"Barack Obama", "Ann Dunham", "3"
"Barack Obama", "Columbia University", "3"
"Barack Obama", "Juris Doctor", "3"
"Barack Obama", "August 4, 1961", "3"
"Barack Obama", "John McCain", "3"
"Barack Obama", "Affordable Care Act", "3"
"Barack Obama", "United Nations Security Council", "3"
"Barack Obama", "Obergefell", "3"
"Barack Obama", "2018", "3"
"Barack Obama", "The Audacity of Hope", "3"
"Barack Obama", "December 12, 2008", "3"
"Barack Obama", "Dan", "3"
"Barack Obama", "B1", "3"
"Barack Obama", "Kansas", "3"
"Barack Obama", "Virginia", "3"
"Barack Obama", "plainlinks">[p", "3"
"Barack Obama", "June 18, 1934", "3"
"Barack Obama", "February 7, 2017", "3"
"Barack Obama", "Amanda", "3"
"Barack Obama", "University of Hawaii", "3"
"Barack Obama", "1967", "3"
"Barack Obama", "21", "3"
"Barack Obama", "01", "3"
"Barack Obama", "November 25, 2015", "3"
"Barack Obama", "Jakarta", "3"
"Barack Obama", "Janny", "3"
"Barack Obama", "March 14, 2008", "3"
"Barack Obama", "Richard  date", "3"
"Barack Obama", "marijuana", "3"
"Barack Obama", "307", "3"
"Barack Obama", "November 7, 2009", "3"
"Barack Obama", "February 20, 2009", "3"
"Barack Obama", "October 3, 2007", "3"
"Barack Obama", "November 22, 2008", "3"
"Barack Obama", "14", "3"
"Barack Obama", "8, 2021", "3"
"Barack Obama", "Larry", "3"
"Barack Obama", "Sheryl Gay", "3"
"Barack Obama", "January 22, 2009", "3"
"Barack Obama", "Zeleny", "3"
"Barack Obama", "May 13, 2011", "3"
"Barack Obama", "16, 2009", "3"
"Barack Obama", "Michael D.", "3"
"Barack Obama", "Pope Francis", "3"
"Barack Obama", "January 16, 2016", "3"
"Barack Obama", "Harvard Law 1990a", "3"
"Barack Obama", "Derrick Bell", "3"
"Barack Obama", "June 5, 2008", "3"
"Barack Obama", "Miller", "3"
"Barack Obama", "40", "3"
"Barack Obama", "1994", "3"
"Barack Obama", "Jackson", "3"
"Barack Obama", "April 16, 2008", "3"
"Barack Obama", "Ryan", "3"
"Barack Obama", "2002", "3"
"Barack Obama", "August 2, 2004", "3"
"Barack Obama", "2000", "3"
"Barack Obama", "17", "3"
"Barack Obama", "International Herald Tribune", "3"
"Barack Obama", "November 2004", "3"
"Barack Obama", "October 2, 2002", "3"
"Barack Obama", "Federal Plaza", "3"
"Barack Obama", "19", "3"
"Barack Obama", "Richard Lugar", "3"
"Barack Obama", "December 21, 2007", "3"
"Barack Obama", "May 15, 2008", "3"
"Barack Obama", "Federal Election Commission", "3"
"Barack Obama", "April 30, 2008", "3"
"Barack Obama", "Tom", "3"
"Barack Obama", "UK", "3"
"Barack Obama", "Middle East", "3"
"Barack Obama", "Times", "3"
"Barack Obama", "June 19, 2008", "3"
"Barack Obama", "December 9, 2008", "3"
"Barack Obama", "Johnson", "3"
"Barack Obama", "United Press International", "3"
